Begin Time (s)	End Time (s)	Begin File	File Offset (s)	Begin Path	Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	comment	selec.file	duration	indx.row	ovlp.sels
37.440622699	37.48693973	LAGCHIMU_20190709_200000_5min_cut.wav	37.440622699	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	70	Spectrogram 1	1	2096.612	2259.025	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.046317031000001	NA	NA
40.0115	40.062161838	LAGCHIMU_20190709_200000_5min_cut.wav	40.0115	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	5	Spectrogram 1	1	2233.06	2417.457	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0506618380000035	NA	NA
41.483	41.553107796	LAGCHIMU_20190709_200000_5min_cut.wav	41.483	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	6	Spectrogram 1	1	2160.843	2531.084	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0701077960000021	NA	NA
43.9997	44.070872832	LAGCHIMU_20190709_200000_5min_cut.wav	43.9997	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	7	Spectrogram 1	1	2176.441	2409.618	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.071172832000002	NA	NA
45.140107854	45.200898958	LAGCHIMU_20190709_200000_5min_cut.wav	45.140107854	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	71	Spectrogram 1	1	2199.966	2362.379	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0607911040000033	NA	NA
47.632	47.683347129	LAGCHIMU_20190709_200000_5min_cut.wav	47.632	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	8	Spectrogram 1	1	2124.073	2259.846	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0513471289999998	NA	NA
50.005887887	50.055099733	LAGCHIMU_20190709_200000_5min_cut.wav	50.005887887	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	72	Spectrogram 1	1	2128.988	2348.148	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0492118459999986	NA	NA
51.1331	51.209292514	LAGCHIMU_20190709_200000_5min_cut.wav	51.1331	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	9	Spectrogram 1	1	2112.256	2297.392	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0761925139999988	NA	NA
56.0043	56.08546159	LAGCHIMU_20190709_200000_5min_cut.wav	56.0043	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	10	Spectrogram 1	1	2100.439	2289.514	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0811615900000007	NA	NA
59.6663	59.79880872	LAGCHIMU_20190709_200000_5min_cut.wav	59.6663	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	11	Spectrogram 1	1	2005.522	2373.041	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.132508719999997	NA	NA
79.879863389	79.937759678	LAGCHIMU_20190709_200000_5min_cut.wav	79.879863389	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	73	Spectrogram 1	1	2199.966	2450.969	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0578962890000128	NA	NA
94.0509	94.111112801	LAGCHIMU_20190709_200000_5min_cut.wav	94.0509	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	12	Spectrogram 1	1	2222.55	2361.566	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0602128010000058	NA	NA
99.5629	99.640200697	LAGCHIMU_20190709_200000_5min_cut.wav	99.5629	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	13	Spectrogram 1	1	2025.484	2285.462	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0773006969999983	NA	NA
101.926430439	101.969852656	LAGCHIMU_20190709_200000_5min_cut.wav	101.926430439	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	74	Spectrogram 1	1	2128.988	2348.148	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0434222169999998	NA	NA
108.8571	108.918003579	LAGCHIMU_20190709_200000_5min_cut.wav	108.8571	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	14	Spectrogram 1	1	2072.752	2372.121	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0609035789999979	NA	NA
111.7441	111.807346025	LAGCHIMU_20190709_200000_5min_cut.wav	111.7441	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	15	Spectrogram 1	1	2223.235	2419.39	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.063246024999998	NA	NA
111.983	112.057958251	LAGCHIMU_20190709_200000_5min_cut.wav	111.983	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	16	Spectrogram 1	1	2146.944	2443.024	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0749582509999982	NA	NA
114.1424	114.219700696	LAGCHIMU_20190709_200000_5min_cut.wav	114.1424	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	17	Spectrogram 1	1	2212.336	2630.118	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0773006960000089	NA	NA
115.7872	115.84015942	LAGCHIMU_20190709_200000_5min_cut.wav	115.7872	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	18	Spectrogram 1	1	2229.496	2364.243	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0529594200000076	NA	NA
116.0545	116.112271978	LAGCHIMU_20190709_200000_5min_cut.wav	116.0545	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	19	Spectrogram 1	1	2096.612	2285.462	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.057771977999991	NA	NA
119.4044	119.481700697	LAGCHIMU_20190709_200000_5min_cut.wav	119.4044	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	20	Spectrogram 1	1	2072.752	2372.121	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0773006969999983	NA	NA
120.7232	120.789772378	LAGCHIMU_20190709_200000_5min_cut.wav	120.7232	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	21	Spectrogram 1	1	2158.328	2594.078	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0665723779999894	NA	NA
123.8823	123.935915939	LAGCHIMU_20190709_200000_5min_cut.wav	123.8823	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	22	Spectrogram 1	1	2081.847	2273.79	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0536159389999966	NA	NA
127.4007	127.473315806	LAGCHIMU_20190709_200000_5min_cut.wav	127.4007	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	23	Spectrogram 1	1	2175.168	2498.171	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0726158060000017	NA	NA
128.1981	128.280085588	LAGCHIMU_20190709_200000_5min_cut.wav	128.1981	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	24	Spectrogram 1	1	2132.413	2303.158	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0819855879999807	NA	NA
129.6715	129.731684249	LAGCHIMU_20190709_200000_5min_cut.wav	129.6715	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	25	Spectrogram 1	1	2111.377	2277.584	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0601842490000024	NA	NA
130.7355	130.78829152	LAGCHIMU_20190709_200000_5min_cut.wav	130.7355	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	26	Spectrogram 1	1	2052.317	2364.243	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0527915199999995	NA	NA
133.3166	133.362650811	LAGCHIMU_20190709_200000_5min_cut.wav	133.3166	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	27	Spectrogram 1	1	2111.377	2332.85	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0460508110000148	NA	NA
134.8001	134.875058252	LAGCHIMU_20190709_200000_5min_cut.wav	134.8001	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	28	Spectrogram 1	1	2190.924	2387.877	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.074958252000016	NA	NA
136.0163	136.08657336	LAGCHIMU_20190709_200000_5min_cut.wav	136.0163	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	29	Spectrogram 1	1	2128.78	2354.019	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0702733599999874	NA	NA
138.4791	138.551715806	LAGCHIMU_20190709_200000_5min_cut.wav	138.4791	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	30	Spectrogram 1	1	2017.605	2332.731	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0726158060000159	NA	NA
141.2747	141.344973361	LAGCHIMU_20190709_200000_5min_cut.wav	141.2747	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	31	Spectrogram 1	1	2017.605	2372.121	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0702733610000053	NA	NA
144.2284	144.301015806	LAGCHIMU_20190709_200000_5min_cut.wav	144.2284	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	32	Spectrogram 1	1	2112.143	2506.049	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0726158060000159	NA	NA
145.317428368	145.386903914	LAGCHIMU_20190709_200000_5min_cut.wav	145.317428368	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	33	Spectrogram 1	1	2155.671	2318.085	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0694755459999783	NA	NA
146.6438	146.7069393	LAGCHIMU_20190709_200000_5min_cut.wav	146.6438	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	34	Spectrogram 1	1	2155.671	2301.028	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0631392999999889	NA	NA
148.0844	148.135933798	LAGCHIMU_20190709_200000_5min_cut.wav	148.0844	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	35	Spectrogram 1	1	1607.943	1718.237	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0515337980000083	NA	NA
154.1841	154.233291353	LAGCHIMU_20190709_200000_5min_cut.wav	154.1841	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	36	Spectrogram 1	1	2136.046	2301.218	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0491913529999977	NA	NA
155.6405	155.699061134	LAGCHIMU_20190709_200000_5min_cut.wav	155.6405	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	37	Spectrogram 1	1	2064.874	2324.852	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0585611340000014	NA	NA
157.48	157.543246025	LAGCHIMU_20190709_200000_5min_cut.wav	157.48	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	38	Spectrogram 1	1	2223.235	2361.284	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0632460250000122	NA	NA
160.2157	160.276603579	LAGCHIMU_20190709_200000_5min_cut.wav	160.2157	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	39	Spectrogram 1	1	2104.265	2332.731	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0609035790000121	NA	NA
170.2922	170.367158251	LAGCHIMU_20190709_200000_5min_cut.wav	170.2922	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	40	Spectrogram 1	1	2246.071	2348.487	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0749582509999982	NA	NA
201.753913314	201.814704417	LAGCHIMU_20190709_200000_5min_cut.wav	201.753913314	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	41	Spectrogram 1	1	1624.136	1757.02	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0607911030000139	NA	NA
203.6309	203.678964918	LAGCHIMU_20190709_200000_5min_cut.wav	203.6309	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	42	Spectrogram 1	1	2140.906	2340.609	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0480649179999943	NA	NA
203.72	203.773876243	LAGCHIMU_20190709_200000_5min_cut.wav	203.72	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	43	Spectrogram 1	1	2159.412	2316.974	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0538762429999906	NA	NA
206.3503	206.439312924	LAGCHIMU_20190709_200000_5min_cut.wav	206.3503	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	44	Spectrogram 1	1	2080.631	2309.096	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0890129240000022	NA	NA
208.8658	208.913139226	LAGCHIMU_20190709_200000_5min_cut.wav	208.8658	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	45	Spectrogram 1	1	2111.377	2318.085	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0473392259999912	NA	NA
209.796057631	209.862638363	LAGCHIMU_20190709_200000_5min_cut.wav	209.796057631	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	46	Spectrogram 1	1	2318.085	2495.263	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0665807320000056	NA	NA
218.8215	218.905828033	LAGCHIMU_20190709_200000_5min_cut.wav	218.8215	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	47	Spectrogram 1	1	1615.821	1749.749	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0843280330000198	NA	NA
238.3269	238.394491021	LAGCHIMU_20190709_200000_5min_cut.wav	238.3269	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	48	Spectrogram 1	1	1579.841	1726.115	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0675910209999984	NA	NA
249.895100785	249.984840032	LAGCHIMU_20190709_200000_5min_cut.wav	249.895100785	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	49	Spectrogram 1	1	1742.255	1845.609	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0897392469999829	NA	NA
252.185333634	252.240335109	LAGCHIMU_20190709_200000_5min_cut.wav	252.185333634	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	50	Spectrogram 1	1	2052.317	2347.615	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0550014750000116	NA	NA
253.6146	253.694243143	LAGCHIMU_20190709_200000_5min_cut.wav	253.6146	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	51	Spectrogram 1	1	2072.752	2324.852	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0796431429999984	NA	NA
256.442449651	256.497451126	LAGCHIMU_20190709_200000_5min_cut.wav	256.442449651	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	52	Spectrogram 1	1	2117.881	2332.85	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0550014749999832	NA	NA
266.357019174	266.475797814	LAGCHIMU_20190709_200000_5min_cut.wav	266.357019174	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	53	Spectrogram 1	1	2233.222	2587.27	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.11877863999996	NA	NA
267.7458	267.867607158	LAGCHIMU_20190709_200000_5min_cut.wav	267.7458	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	54	Spectrogram 1	1	2049.118	2342.16	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.121807158000024	NA	NA
270.808724048	270.860830708	LAGCHIMU_20190709_200000_5min_cut.wav	270.808724048	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	55	Spectrogram 1	1	2088.509	2318.085	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0521066599999926	NA	NA
275.50906489	275.569855994	LAGCHIMU_20190709_200000_5min_cut.wav	275.50906489	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	56	Spectrogram 1	1	2111.377	2303.32	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0607911040000317	NA	NA
282.4511	282.528268652	LAGCHIMU_20190709_200000_5min_cut.wav	282.4511	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	57	Spectrogram 1	1	2244.26	2561.196	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0771686520000117	NA	NA
284.552613341	284.607614815	LAGCHIMU_20190709_200000_5min_cut.wav	284.552613341	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	58	Spectrogram 1	1	2100.563	2661.235	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0550014739999938	NA	NA
285.8382	285.894418688	LAGCHIMU_20190709_200000_5min_cut.wav	285.8382	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts//LAGCHIMU_20190709_200000_5min_cut.wav	59	Spectrogram 1	1	2133.974	2568.315	NA	LAGCHIMU_20190709_200000_5min_cut.Table.1.selections.txt	0.0562186880000013	NA	NA
