"site_date_hour","call_rate","n_call","rec_time","hour","month","year","site"
"LAGCHIMU_20190718_010000",9.33333333333333,28,20,1,7,2019,"LAGCHIMU"
"LAGCHIMU_20190718_020000",2.66666666666667,8,20,2,7,2019,"LAGCHIMU"
"LAGCHIMU_20190718_030000",3,9,20,3,7,2019,"LAGCHIMU"
"LAGCHIMU_20190718_040000",1.33333333333333,4,20,4,7,2019,"LAGCHIMU"
"LAGCHIMU_20190718_170000",2.66666666666667,8,20,17,7,2019,"LAGCHIMU"
"LAGCHIMU_20190718_180000",1.33333333333333,4,20,18,7,2019,"LAGCHIMU"
"LAGCHIMU_20190718_190000",0.333333333333333,1,20,19,7,2019,"LAGCHIMU"
"LAGCHIMU_20190718_200000",1.33333333333333,4,20,20,7,2019,"LAGCHIMU"
"LAGCHIMU_20190718_210000",1.66666666666667,5,20,21,7,2019,"LAGCHIMU"
"LAGCHIMU_20190718_220000",3.66666666666667,11,20,22,7,2019,"LAGCHIMU"
"LAGCHIMU_20190718_230000",0.666666666666667,2,20,23,7,2019,"LAGCHIMU"
"LAGCHIMU_20190719_000000",0.666666666666667,2,20,0,7,2019,"LAGCHIMU"
"LAGCHIMU_20190719_010000",0.333333333333333,1,20,1,7,2019,"LAGCHIMU"
"LAGCHIMU_20190719_020000",1,3,20,2,7,2019,"LAGCHIMU"
"LAGCHIMU_20190719_030000",1,3,20,3,7,2019,"LAGCHIMU"
"LAGCHIMU_20190719_040000",4.33333333333333,13,20,4,7,2019,"LAGCHIMU"
"LAGCHIMU_20190719_170000",0.333333333333333,1,20,17,7,2019,"LAGCHIMU"
"LAGCHIMU_20190719_180000",1.66666666666667,5,20,18,7,2019,"LAGCHIMU"
"LAGCHIMU_20190719_190000",16,48,20,19,7,2019,"LAGCHIMU"
"LAGCHIMU_20190719_200000",10.6666666666667,32,20,20,7,2019,"LAGCHIMU"
"LAGCHIMU_20190719_210000",19.6666666666667,59,20,21,7,2019,"LAGCHIMU"
"LAGCHIMU_20190719_220000",0.666666666666667,2,20,22,7,2019,"LAGCHIMU"
"LAGCHIMU_20190719_230000",2.33333333333333,7,20,23,7,2019,"LAGCHIMU"
"LAGCHIMU_20190720_000000",2,6,20,0,7,2019,"LAGCHIMU"
"LAGCHIMU_20190720_010000",5,15,20,1,7,2019,"LAGCHIMU"
"LAGCHIMU_20190720_020000",1.33333333333333,4,20,2,7,2019,"LAGCHIMU"
"LAGCHIMU_20190720_030000",2.33333333333333,7,20,3,7,2019,"LAGCHIMU"
"LAGCHIMU_20190720_040000",5.33333333333333,16,20,4,7,2019,"LAGCHIMU"
"LAGCHIMU_20190720_170000",5.33333333333333,16,20,17,7,2019,"LAGCHIMU"
"LAGCHIMU_20190720_180000",3,9,20,18,7,2019,"LAGCHIMU"
"LAGCHIMU_20190720_190000",2,6,20,19,7,2019,"LAGCHIMU"
"LAGCHIMU_20190720_200000",0.333333333333333,1,20,20,7,2019,"LAGCHIMU"
"LAGCHIMU_20190720_210000",1.66666666666667,5,20,21,7,2019,"LAGCHIMU"
"LAGCHIMU_20190720_220000",6.66666666666667,20,20,22,7,2019,"LAGCHIMU"
"LAGCHIMU_20190720_230000",6,18,20,23,7,2019,"LAGCHIMU"
"LAGCHIMU_20190721_000000",4.33333333333333,13,20,0,7,2019,"LAGCHIMU"
"LAGCHIMU_20190721_010000",9.33333333333333,28,20,1,7,2019,"LAGCHIMU"
"LAGCHIMU_20190721_020000",0.666666666666667,2,20,2,7,2019,"LAGCHIMU"
"LAGCHIMU_20190721_030000",0.333333333333333,1,20,3,7,2019,"LAGCHIMU"
"LAGCHIMU_20190721_040000",2.33333333333333,7,20,4,7,2019,"LAGCHIMU"
"LAGCHIMU_20190721_170000",0,0,20,17,7,2019,"LAGCHIMU"
"LAGCHIMU_20190721_180000",1,3,20,18,7,2019,"LAGCHIMU"
"LAGCHIMU_20190721_190000",1.66666666666667,5,20,19,7,2019,"LAGCHIMU"
"LAGCHIMU_20190721_200000",0,0,20,20,7,2019,"LAGCHIMU"
"LAGCHIMU_20190721_210000",0,0,20,21,7,2019,"LAGCHIMU"
"LAGCHIMU_20190721_220000",0.333333333333333,1,20,22,7,2019,"LAGCHIMU"
"LAGCHIMU_20190721_230000",0.666666666666667,2,20,23,7,2019,"LAGCHIMU"
"LAGCHIMU_20190722_000000",0,0,20,0,7,2019,"LAGCHIMU"
"LAGCHIMU_20190722_010000",0,0,20,1,7,2019,"LAGCHIMU"
"LAGCHIMU_20190722_020000",1.33333333333333,4,20,2,7,2019,"LAGCHIMU"
"LAGCHIMU_20190722_030000",1.33333333333333,4,20,3,7,2019,"LAGCHIMU"
"LAGCHIMU_20190722_040000",0,0,20,4,7,2019,"LAGCHIMU"
"LAGCHIMU_20190722_170000",0,0,20,17,7,2019,"LAGCHIMU"
"LAGCHIMU_20190722_180000",1.66666666666667,5,20,18,7,2019,"LAGCHIMU"
"LAGCHIMU_20190722_190000",3.66666666666667,11,20,19,7,2019,"LAGCHIMU"
"LAGCHIMU_20190722_200000",8,24,20,20,7,2019,"LAGCHIMU"
"LAGCHIMU_20190722_210000",0.666666666666667,2,20,21,7,2019,"LAGCHIMU"
"LAGCHIMU_20190722_220000",0,0,20,22,7,2019,"LAGCHIMU"
"LAGCHIMU_20190722_230000",1,3,20,23,7,2019,"LAGCHIMU"
"LAGCHIMU_20190723_000000",2,6,20,0,7,2019,"LAGCHIMU"
"LAGCHIMU_20190723_010000",2.33333333333333,7,20,1,7,2019,"LAGCHIMU"
"LAGCHIMU_20190723_020000",8,24,20,2,7,2019,"LAGCHIMU"
"LAGCHIMU_20190723_030000",5,15,20,3,7,2019,"LAGCHIMU"
"LAGCHIMU_20190723_040000",0,0,20,4,7,2019,"LAGCHIMU"
"LAGCHIMU_20190723_170000",71,213,20,17,7,2019,"LAGCHIMU"
"LAGCHIMU_20190723_180000",0.666666666666667,2,20,18,7,2019,"LAGCHIMU"
"LAGCHIMU_20190723_190000",11,33,20,19,7,2019,"LAGCHIMU"
"LAGCHIMU_20190723_200000",17.3333333333333,52,20,20,7,2019,"LAGCHIMU"
"LAGCHIMU_20190723_210000",9,27,20,21,7,2019,"LAGCHIMU"
"LAGCHIMU_20190723_220000",5.66666666666667,17,20,22,7,2019,"LAGCHIMU"
"LAGCHIMU_20190723_230000",6.66666666666667,20,20,23,7,2019,"LAGCHIMU"
"LAGCHIMU_20190724_000000",3,9,20,0,7,2019,"LAGCHIMU"
"LAGCHIMU_20190724_010000",3.33333333333333,10,20,1,7,2019,"LAGCHIMU"
"LAGCHIMU_20190724_020000",0.333333333333333,1,20,2,7,2019,"LAGCHIMU"
"LAGCHIMU_20190724_030000",0.333333333333333,1,20,3,7,2019,"LAGCHIMU"
"LAGCHIMU_20190724_040000",0.666666666666667,2,20,4,7,2019,"LAGCHIMU"
"LAGCHIMU_20190724_170000",0,0,20,17,7,2019,"LAGCHIMU"
"LAGCHIMU_20190724_180000",0,0,20,18,7,2019,"LAGCHIMU"
"LAGCHIMU_20190724_190000",13.6666666666667,41,20,19,7,2019,"LAGCHIMU"
"LAGCHIMU_20190724_200000",9.33333333333333,28,20,20,7,2019,"LAGCHIMU"
"LAGCHIMU_20190724_210000",7.33333333333333,22,20,21,7,2019,"LAGCHIMU"
"LAGCHIMU_20190724_220000",10,30,20,22,7,2019,"LAGCHIMU"
"LAGCHIMU_20190724_230000",7,21,20,23,7,2019,"LAGCHIMU"
"LAGCHIMU_20190725_000000",4.33333333333333,13,20,0,7,2019,"LAGCHIMU"
"LAGCHIMU_20190725_010000",9.33333333333333,28,20,1,7,2019,"LAGCHIMU"
"LAGCHIMU_20190725_020000",7,21,20,2,7,2019,"LAGCHIMU"
"LAGCHIMU_20190725_030000",0.666666666666667,2,20,3,7,2019,"LAGCHIMU"
"LAGCHIMU_20190725_040000",1,3,20,4,7,2019,"LAGCHIMU"
"LAGCHIMU_20190725_170000",7.66666666666667,23,20,17,7,2019,"LAGCHIMU"
"LAGCHIMU_20190725_180000",0,0,20,18,7,2019,"LAGCHIMU"
"LAGCHIMU_20190725_190000",11,33,20,19,7,2019,"LAGCHIMU"
"LAGCHIMU_20190725_200000",3.66666666666667,11,20,20,7,2019,"LAGCHIMU"
"LAGCHIMU_20190725_210000",8.66666666666667,26,20,21,7,2019,"LAGCHIMU"
"LAGCHIMU_20190725_220000",0.666666666666667,2,20,22,7,2019,"LAGCHIMU"
"LAGCHIMU_20190725_230000",1,3,20,23,7,2019,"LAGCHIMU"
"LAGCHIMU_20190726_000000",1,3,20,0,7,2019,"LAGCHIMU"
"LAGCHIMU_20190726_010000",1,3,20,1,7,2019,"LAGCHIMU"
"LAGCHIMU_20190726_020000",1,3,20,2,7,2019,"LAGCHIMU"
"LAGCHIMU_20190726_030000",4,12,20,3,7,2019,"LAGCHIMU"
"LAGCHIMU_20190726_040000",0,0,20,4,7,2019,"LAGCHIMU"
"LAGCHIMU_20190726_170000",2.66666666666667,8,20,17,7,2019,"LAGCHIMU"
"LAGCHIMU_20190726_180000",0,0,20,18,7,2019,"LAGCHIMU"
"LAGCHIMU_20190726_190000",4,12,20,19,7,2019,"LAGCHIMU"
"LAGCHIMU_20190726_200000",3.33333333333333,10,20,20,7,2019,"LAGCHIMU"
"LAGCHIMU_20190726_210000",4,12,20,21,7,2019,"LAGCHIMU"
"LAGCHIMU_20190726_220000",0.666666666666667,2,20,22,7,2019,"LAGCHIMU"
"LAGCHIMU_20190726_230000",5.33333333333333,16,20,23,7,2019,"LAGCHIMU"
"LAGCHIMU_20190727_000000",0,0,20,0,7,2019,"LAGCHIMU"
"LAGCHIMU_20190727_010000",0.333333333333333,1,20,1,7,2019,"LAGCHIMU"
"LAGCHIMU_20190727_020000",0,0,20,2,7,2019,"LAGCHIMU"
"LAGCHIMU_20190727_030000",10,30,20,3,7,2019,"LAGCHIMU"
"LAGCHIMU_20190727_040000",0.666666666666667,2,20,4,7,2019,"LAGCHIMU"
"LAGCHIMU_20190727_170000",0,0,20,17,7,2019,"LAGCHIMU"
"LAGCHIMU_20190727_180000",0,0,20,18,7,2019,"LAGCHIMU"
"LAGCHIMU_20190727_190000",4.66666666666667,14,20,19,7,2019,"LAGCHIMU"
"LAGCHIMU_20190727_200000",0,0,20,20,7,2019,"LAGCHIMU"
"LAGCHIMU_20190727_210000",1,3,20,21,7,2019,"LAGCHIMU"
"LAGCHIMU_20190727_220000",5.33333333333333,16,20,22,7,2019,"LAGCHIMU"
"LAGCHIMU_20190727_230000",3.33333333333333,10,20,23,7,2019,"LAGCHIMU"
"LAGCHIMU_20190728_000000",3.66666666666667,11,20,0,7,2019,"LAGCHIMU"
"LAGCHIMU_20190728_010000",5.66666666666667,17,20,1,7,2019,"LAGCHIMU"
"LAGCHIMU_20190728_020000",4,12,20,2,7,2019,"LAGCHIMU"
"LAGCHIMU_20190728_030000",10.6666666666667,32,20,3,7,2019,"LAGCHIMU"
"LAGCHIMU_20190728_040000",7.66666666666667,23,20,4,7,2019,"LAGCHIMU"
"LAGCHIMU_20190728_170000",0,0,20,17,7,2019,"LAGCHIMU"
"LAGCHIMU_20190728_180000",0,0,20,18,7,2019,"LAGCHIMU"
"LAGCHIMU_20190728_190000",7.33333333333333,22,20,19,7,2019,"LAGCHIMU"
"LAGCHIMU_20190728_200000",13,39,20,20,7,2019,"LAGCHIMU"
"LAGCHIMU_20190728_210000",14.6666666666667,44,20,21,7,2019,"LAGCHIMU"
"LAGCHIMU_20190728_220000",5,15,20,22,7,2019,"LAGCHIMU"
"LAGCHIMU_20190728_230000",10.3333333333333,31,20,23,7,2019,"LAGCHIMU"
"LAGCHIMU_20190729_000000",11.3333333333333,34,20,0,7,2019,"LAGCHIMU"
"LAGCHIMU_20190729_010000",5.33333333333333,16,20,1,7,2019,"LAGCHIMU"
"LAGCHIMU_20190729_020000",2.66666666666667,8,20,2,7,2019,"LAGCHIMU"
"LAGCHIMU_20190729_030000",2,6,20,3,7,2019,"LAGCHIMU"
"LAGCHIMU_20190729_040000",5.33333333333333,16,20,4,7,2019,"LAGCHIMU"
"LAGCHIMU_20190729_170000",1,3,20,17,7,2019,"LAGCHIMU"
"LAGCHIMU_20190729_180000",0,0,20,18,7,2019,"LAGCHIMU"
"LAGCHIMU_20190729_190000",21,63,20,19,7,2019,"LAGCHIMU"
"LAGCHIMU_20190729_200000",26.6666666666667,80,20,20,7,2019,"LAGCHIMU"
"LAGCHIMU_20190729_210000",14.3333333333333,43,20,21,7,2019,"LAGCHIMU"
"LAGCHIMU_20190729_220000",4,12,20,22,7,2019,"LAGCHIMU"
"LAGCHIMU_20190729_230000",2,6,20,23,7,2019,"LAGCHIMU"
"LAGCHIMU_20190730_000000",1.33333333333333,4,20,0,7,2019,"LAGCHIMU"
"LAGCHIMU_20190730_010000",2.33333333333333,7,20,1,7,2019,"LAGCHIMU"
"LAGCHIMU_20190730_020000",0.666666666666667,2,20,2,7,2019,"LAGCHIMU"
"LAGCHIMU_20190730_030000",3.66666666666667,11,20,3,7,2019,"LAGCHIMU"
"LAGCHIMU_20190730_040000",1,3,20,4,7,2019,"LAGCHIMU"
"LAGCHIMU_20190730_170000",27,81,20,17,7,2019,"LAGCHIMU"
"LAGCHIMU_20190730_180000",0,0,20,18,7,2019,"LAGCHIMU"
"LAGCHIMU_20190730_190000",11,33,20,19,7,2019,"LAGCHIMU"
"LAGCHIMU_20190730_200000",10.3333333333333,31,20,20,7,2019,"LAGCHIMU"
"LAGCHIMU_20190730_210000",11,33,20,21,7,2019,"LAGCHIMU"
"LAGCHIMU_20190730_220000",6.66666666666667,20,20,22,7,2019,"LAGCHIMU"
"LAGCHIMU_20190730_230000",0,0,20,23,7,2019,"LAGCHIMU"
"LAGCHIMU_20190731_000000",0,0,20,0,7,2019,"LAGCHIMU"
"LAGCHIMU_20190731_010000",0,0,20,1,7,2019,"LAGCHIMU"
"LAGCHIMU_20190731_020000",4.66666666666667,14,20,2,7,2019,"LAGCHIMU"
"LAGCHIMU_20190731_030000",0,0,20,3,7,2019,"LAGCHIMU"
"LAGCHIMU_20190731_040000",0.333333333333333,1,20,4,7,2019,"LAGCHIMU"
"LAGCHIMU_20190731_170000",0,0,20,17,7,2019,"LAGCHIMU"
"LAGCHIMU_20190731_180000",0,0,20,18,7,2019,"LAGCHIMU"
"LAGCHIMU_20190731_190000",9,27,20,19,7,2019,"LAGCHIMU"
"LAGCHIMU_20190731_200000",14,42,20,20,7,2019,"LAGCHIMU"
"LAGCHIMU_20190731_210000",13.3333333333333,40,20,21,7,2019,"LAGCHIMU"
"LAGCHIMU_20190731_220000",3.66666666666667,11,20,22,7,2019,"LAGCHIMU"
"LAGCHIMU_20190731_230000",12.3333333333333,37,20,23,7,2019,"LAGCHIMU"
"LAGCHIMU_20190801_000000",4.66666666666667,14,20,0,8,2019,"LAGCHIMU"
"LAGCHIMU_20190801_010000",7.66666666666667,23,20,1,8,2019,"LAGCHIMU"
"LAGCHIMU_20190801_020000",9.33333333333333,28,20,2,8,2019,"LAGCHIMU"
"LAGCHIMU_20190801_030000",10,30,20,3,8,2019,"LAGCHIMU"
"LAGCHIMU_20190801_040000",16.3333333333333,49,20,4,8,2019,"LAGCHIMU"
"LAGCHIMU_20190801_170000",323.333333333333,970,20,17,8,2019,"LAGCHIMU"
"LAGCHIMU_20190801_180000",0,0,20,18,8,2019,"LAGCHIMU"
"LAGCHIMU_20190801_190000",28,84,20,19,8,2019,"LAGCHIMU"
"LAGCHIMU_20190801_200000",5,15,20,20,8,2019,"LAGCHIMU"
"LAGCHIMU_20190801_210000",5.66666666666667,17,20,21,8,2019,"LAGCHIMU"
"LAGCHIMU_20190801_220000",4.66666666666667,14,20,22,8,2019,"LAGCHIMU"
"LAGCHIMU_20190801_230000",3.33333333333333,10,20,23,8,2019,"LAGCHIMU"
"LAGCHIMU_20190802_000000",4,12,20,0,8,2019,"LAGCHIMU"
"LAGCHIMU_20190802_010000",1,3,20,1,8,2019,"LAGCHIMU"
"LAGCHIMU_20190802_020000",3.66666666666667,11,20,2,8,2019,"LAGCHIMU"
"LAGCHIMU_20190802_030000",3,9,20,3,8,2019,"LAGCHIMU"
"LAGCHIMU_20190802_040000",2.66666666666667,8,20,4,8,2019,"LAGCHIMU"
"LAGCHIMU_20190802_170000",0,0,20,17,8,2019,"LAGCHIMU"
"LAGCHIMU_20190802_180000",0,0,20,18,8,2019,"LAGCHIMU"
"LAGCHIMU_20190802_190000",10.3333333333333,31,20,19,8,2019,"LAGCHIMU"
"LAGCHIMU_20190802_200000",15,45,20,20,8,2019,"LAGCHIMU"
"LAGCHIMU_20190802_210000",16.3333333333333,49,20,21,8,2019,"LAGCHIMU"
"LAGCHIMU_20190802_220000",6.66666666666667,20,20,22,8,2019,"LAGCHIMU"
"LAGCHIMU_20190802_230000",7.33333333333333,22,20,23,8,2019,"LAGCHIMU"
"LAGCHIMU_20190803_000000",8,24,20,0,8,2019,"LAGCHIMU"
"LAGCHIMU_20190803_010000",0.666666666666667,2,20,1,8,2019,"LAGCHIMU"
"LAGCHIMU_20190803_020000",8.33333333333333,25,20,2,8,2019,"LAGCHIMU"
"LAGCHIMU_20190803_030000",14.3333333333333,43,20,3,8,2019,"LAGCHIMU"
"LAGCHIMU_20190803_040000",7,21,20,4,8,2019,"LAGCHIMU"
"LAGCHIMU_20190803_170000",1,3,20,17,8,2019,"LAGCHIMU"
"LAGCHIMU_20190803_180000",0.666666666666667,2,20,18,8,2019,"LAGCHIMU"
"LAGCHIMU_20190803_190000",26.3333333333333,79,20,19,8,2019,"LAGCHIMU"
"LAGCHIMU_20190803_200000",16,48,20,20,8,2019,"LAGCHIMU"
"LAGCHIMU_20190803_210000",14,42,20,21,8,2019,"LAGCHIMU"
"LAGCHIMU_20190803_220000",6.66666666666667,20,20,22,8,2019,"LAGCHIMU"
"LAGCHIMU_20190803_230000",3.66666666666667,11,20,23,8,2019,"LAGCHIMU"
"LAGCHIMU_20190804_000000",3.66666666666667,11,20,0,8,2019,"LAGCHIMU"
"LAGCHIMU_20190804_010000",2,6,20,1,8,2019,"LAGCHIMU"
"LAGCHIMU_20190804_020000",3.66666666666667,11,20,2,8,2019,"LAGCHIMU"
"LAGCHIMU_20190804_030000",7.33333333333333,22,20,3,8,2019,"LAGCHIMU"
"LAGCHIMU_20190804_040000",9,27,20,4,8,2019,"LAGCHIMU"
"LAGCHIMU_20190804_170000",6.66666666666667,20,20,17,8,2019,"LAGCHIMU"
