"site","month","year"
"LAGCHIMU",10,2019
"LAGCHIMU",10,2019
"LAGCHIMU",10,2019
"LAGCHIMU",10,2019
"LAGCHIMU",10,2019
"LAGCHIMU",10,2019
"LAGCHIMU",10,2019
"LAGCHIMU",10,2019
"LAGCHIMU",10,2019
"LAGCHIMU",10,2019
"LAGCHIMU",10,2019
"LAGCHIMU",10,2019
"LAGCHIMU",10,2019
"LAGCHIMU",10,2019
"LAGCHIMU",10,2019
"LAGCHIMU",10,2019
"LAGCHIMU",10,2019
"LAGCHIMU",10,2019
"LAGCHIMU",10,2019
"LAGCHIMU",10,2019
"LAGCHIMU",10,2019
"LAGCHIMU",10,2019
"LAGCHIMU",10,2019
"LAGCHIMU",10,2019
"LAGCHIMU",10,2019
"LAGCHIMU",10,2019
"LAGCHIMU",10,2019
"LAGCHIMU",10,2019
"LAGCHIMU",10,2019
"LAGCHIMU",10,2019
"LAGCHIMU",10,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
