Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	Begin Path	comment
30	Spectrogram 1	1	285.846564613	285.910019844	2008.023	2303.320	LAGCHIMU_20190720_210000_5min_cut.wav	285.8466	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
31	Spectrogram 1	1	289.384411947	289.505181579	2103.994	2318.085	LAGCHIMU_20190720_210000_5min_cut.wav	289.3844	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	canto doble
32	Spectrogram 1	1	289.627998154	289.707828928	2202.584	2450.969	LAGCHIMU_20190720_210000_5min_cut.wav	289.6280	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	canto doble
33	Spectrogram 1	1	296.708707652	296.774209826	2086.837	2284.287	LAGCHIMU_20190720_210000_5min_cut.wav	296.7087	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
1	Selection Spectrum 1	1	75.921003588	75.978317990	2005.134	2308.117	LAGCHIMU_20190720_210000_5min_cut.wav	75.9210	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
2	Selection Spectrum 1	1	85.004801592	85.080538480	2022.156	2294.500	LAGCHIMU_20190720_210000_5min_cut.wav	85.0048	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
3	Selection Spectrum 1	1	87.863542735	87.929044908	1956.346	2244.260	LAGCHIMU_20190720_210000_5min_cut.wav	87.8635	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
4	Selection Spectrum 1	1	121.622035982	121.677303441	2214.731	2406.674	LAGCHIMU_20190720_210000_5min_cut.wav	121.6220	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
5	Selection Spectrum 1	1	130.614224689	130.681773806	1985.875	2281.173	LAGCHIMU_20190720_210000_5min_cut.wav	130.6142	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
6	Selection Spectrum 1	1	132.711290514	132.789074345	2126.142	2362.379	LAGCHIMU_20190720_210000_5min_cut.wav	132.7113	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
7	Selection Spectrum 1	1	137.729304819	137.790713107	1919.433	2259.025	LAGCHIMU_20190720_210000_5min_cut.wav	137.7293	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
8	Selection Spectrum 1	1	138.785837381	138.839057897	1912.051	2281.173	LAGCHIMU_20190720_210000_5min_cut.wav	138.7858	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
9	Selection Spectrum 1	1	140.299137860	140.409672778	2022.787	2310.702	LAGCHIMU_20190720_210000_5min_cut.wav	140.2991	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
10	Selection Spectrum 1	1	140.497691324	140.565240440	2133.524	2303.320	LAGCHIMU_20190720_210000_5min_cut.wav	140.4977	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
11	Selection Spectrum 1	1	157.987729739	158.047091084	2126.142	2310.702	LAGCHIMU_20190720_210000_5min_cut.wav	157.9877	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
12	Selection Spectrum 1	1	159.218089013	159.328623931	2111.377	2369.762	LAGCHIMU_20190720_210000_5min_cut.wav	159.2181	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
13	Selection Spectrum 1	1	181.637353869	181.706949929	2199.966	2443.586	LAGCHIMU_20190720_210000_5min_cut.wav	181.6374	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
14	Selection Spectrum 1	1	186.060563816	186.126065990	2000.640	2295.938	LAGCHIMU_20190720_210000_5min_cut.wav	186.0606	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
15	Selection Spectrum 1	1	189.588109491	189.639283064	1934.198	2303.320	LAGCHIMU_20190720_210000_5min_cut.wav	189.5881	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
16	Selection Spectrum 1	1	189.657705551	189.731395496	2089.229	2354.997	LAGCHIMU_20190720_210000_5min_cut.wav	189.6577	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
17	Selection Spectrum 1	1	191.824487725	191.885896013	2008.023	2281.173	LAGCHIMU_20190720_210000_5min_cut.wav	191.8245	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	cantos pares
18	Selection Spectrum 1	1	191.885896013	191.937069586	1985.875	2295.938	LAGCHIMU_20190720_210000_5min_cut.wav	191.8859	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	cantos pares
19	Selection Spectrum 1	1	200.993745180	201.118608699	2148.289	2310.702	LAGCHIMU_20190720_210000_5min_cut.wav	200.9937	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
20	Selection Spectrum 1	1	203.344757539	203.463480229	2148.289	2310.702	LAGCHIMU_20190720_210000_5min_cut.wav	203.3448	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
21	Selection Spectrum 1	1	205.936015606	206.003564723	1926.816	2244.260	LAGCHIMU_20190720_210000_5min_cut.wav	205.9360	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	 
22	Selection Spectrum 1	1	208.335890510	208.401392684	1941.581	2281.173	LAGCHIMU_20190720_210000_5min_cut.wav	208.3359	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
23	Selection Spectrum 1	1	213.819400936	213.886950053	1963.728	2303.320	LAGCHIMU_20190720_210000_5min_cut.wav	213.8194	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
24	Selection Spectrum 1	1	268.354026740	268.452280000	2103.994	2318.085	LAGCHIMU_20190720_210000_5min_cut.wav	268.3540	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
25	Selection Spectrum 1	1	271.657095210	271.712362669	2236.878	2480.498	LAGCHIMU_20190720_210000_5min_cut.wav	271.6571	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
26	Selection Spectrum 1	1	276.648458560	276.705772962	1985.875	2332.850	LAGCHIMU_20190720_210000_5min_cut.wav	276.6485	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
27	Selection Spectrum 1	1	281.294407781	281.364003841	1926.816	2273.790	LAGCHIMU_20190720_210000_5min_cut.wav	281.2944	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	canto doble
28	Selection Spectrum 1	1	281.507289845	281.607590048	2081.847	2303.320	LAGCHIMU_20190720_210000_5min_cut.wav	281.5073	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	canto doble
29	Selection Spectrum 1	1	284.889605267	284.942825783	1950.665	2284.287	LAGCHIMU_20190720_210000_5min_cut.wav	284.8896	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
30	Selection Spectrum 1	1	285.846564613	285.910019844	2008.023	2303.320	LAGCHIMU_20190720_210000_5min_cut.wav	285.8466	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
31	Selection Spectrum 1	1	289.384411947	289.505181579	2103.994	2318.085	LAGCHIMU_20190720_210000_5min_cut.wav	289.3844	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	canto doble
32	Selection Spectrum 1	1	289.627998154	289.707828928	2202.584	2450.969	LAGCHIMU_20190720_210000_5min_cut.wav	289.6280	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	canto doble
33	Selection Spectrum 1	1	296.708707652	296.774209826	2086.837	2284.287	LAGCHIMU_20190720_210000_5min_cut.wav	296.7087	/Volumes/CHIRINO/Proyecto Lemur/INV_2021/5_min_cut_data/converted_sound_files/LAGCHIMU_20190720_210000_5min_cut.wav	
